audioUri,gpc,imageUri,learningOrder,word
https://bitesize.files.bbci.co.uk/practice/words/sounds/jen.mp3,j,,1,Jen
https://bitesize.files.bbci.co.uk/practice/words/sounds/jack.mp3,j,,1,Jack
https://bitesize.files.bbci.co.uk/practice/words/sounds/jacket.mp3,j,https://bitesize.files.bbci.co.uk/practice/words/images/jacket.svg,1,jacket
https://bitesize.files.bbci.co.uk/practice/words/sounds/jug.mp3,j,https://bitesize.files.bbci.co.uk/practice/words/images/jug.svg,1,jug
https://bitesize.files.bbci.co.uk/practice/words/sounds/jet.mp3,j,https://bitesize.files.bbci.co.uk/practice/words/images/jet.svg,1,jet
https://bitesize.files.bbci.co.uk/practice/words/sounds/jam.mp3,j,https://bitesize.files.bbci.co.uk/practice/words/images/jam.svg,1,jam
https://bitesize.files.bbci.co.uk/practice/words/sounds/jog.mp3,j,,1,jog
https://bitesize.files.bbci.co.uk/practice/words/sounds/jill.mp3,j,,1,Jill
https://bitesize.files.bbci.co.uk/practice/words/sounds/job.mp3,j,,1,job
https://bitesize.files.bbci.co.uk/practice/words/sounds/vat.mp3,v,,2,vat
https://bitesize.files.bbci.co.uk/practice/words/sounds/kevin.mp3,v,,2,Kevin
https://bitesize.files.bbci.co.uk/practice/words/sounds/van.mp3,v,https://bitesize.files.bbci.co.uk/practice/words/images/van.svg,2,van
https://bitesize.files.bbci.co.uk/practice/words/sounds/vet.mp3,v,https://bitesize.files.bbci.co.uk/practice/words/images/vet.svg,2,vet
https://bitesize.files.bbci.co.uk/practice/words/sounds/vic.mp3,v,,2,Vic
https://bitesize.files.bbci.co.uk/practice/words/sounds/visit.mp3,v,,2,visit
https://bitesize.files.bbci.co.uk/practice/words/sounds/web.mp3,w,https://bitesize.files.bbci.co.uk/practice/words/images/web.svg,3,web
https://bitesize.files.bbci.co.uk/practice/words/sounds/well.mp3,w,,3,well
https://bitesize.files.bbci.co.uk/practice/words/sounds/wicked.mp3,w,,3,wicked
https://bitesize.files.bbci.co.uk/practice/words/sounds/wet.mp3,w,https://bitesize.files.bbci.co.uk/practice/words/images/wet.svg,3,wet
https://bitesize.files.bbci.co.uk/practice/words/sounds/win.mp3,w,,3,win
https://bitesize.files.bbci.co.uk/practice/words/sounds/wig.mp3,w,https://bitesize.files.bbci.co.uk/practice/words/images/wig.svg,3,wig
https://bitesize.files.bbci.co.uk/practice/words/sounds/cobweb.mp3,w,,3,cobweb
