option1,option2,option3,option4,answer
jug,boxer,car,shed,jug
jug,foot,bee,soil,bee
jet,book,curl,church,jet
jet,moat,boot,coin,jet
jet,gear,boot,hook,jet
jug,turnip,turnip,yak,jug
jet,card,light,waiter,jet
jam,seed,corner,box,jam
jam,foot,food,park,jam
jacket,night,hood,boxer,jacket
jet,singer,tinfoil,foot,jet
jacket,chair,nail,town,town
jacket,soap,moon,six,jacket
jug,chop,dinner,shark,jug
jam,shed,turnip,horn,jam
jam,queen,cow,fork,jam
jam,bush,wool,goat,jam
jet,coin,tear,hair,jet
jet,quack,ear,curl,jet
jet,rain,seed,wing,jet
jacket,wet,fish,curl,jacket
jug,soil,shark,foot,jug
jet,ear,path,queen,jet
jug,boxer,foot,night,foot
jug,shark,surf,tinfoil,jug
jet,ring,roof,stair,jet
jam,yak,chick,zigzag,jam
jacket,lightning,cook,teeth,cook
jug,singer,surf,corner,jug
jet,quack,feet,soil,jet
jam,tooth,hook,letter,jam
jug,rain,town,chick,jug
jacket,cork,feet,hoof,jacket
jacket,shop,waiter,fur,fur
jet,chop,bee,singer,jet
jam,horn,dinner,oil,jam
jacket,book,farmer,hood,jacket
jacket,wing,wig,zigzag,wing
jacket,thorn,yak,chick,yak
jacket,tooth,lightning,shop,tooth
jam,chin,food,tooth,jam
jacket,bee,hood,seed,jacket
jet,sail,town,wig,jet
jug,farm,wet,hood,jug
jug,van,corn,letter,jug
jacket,box,wet,car,jacket
jug,hoof,gear,chair,jug
jet,cook,poison,sheep,jet
jam,corn,fox,chain,jam
jacket,curl,bush,arch,jacket
jet,bark,night,shed,jet
jet,hood,chicken,zigzag,jet
jam,boxer,six,curl,jam
jacket,teeth,bath,coin,jacket
jam,stair,boat,cow,jam
jam,seed,chain,road,jam
jam,tail,chick,bath,jam
jug,card,oak,rain,jug
jacket,singer,box,lightning,jacket
jet,chicken,cart,surf,jet
jet,shark,moth,soil,jet
jug,wet,card,soil,jug
jug,bee,nail,cook,jug
jug,toad,car,sing,jug
jet,arch,buzz,quack,jet
jam,tear,shell,horn,jam
jug,dish,chin,goal,jug
jam,bark,soap,chain,jam
jacket,buzz,shell,goal,jacket
jet,hoof,turnip,hood,jet
jacket,cart,boxer,soap,boxer
jug,bush,yak,farm,bush
jam,goal,surf,bush,jam
jug,moat,shop,boxer,jug
jacket,dish,sheep,wet,jacket
jacket,six,church,king,jacket
jug,hook,hook,poison,jug
jet,buzz,town,barn,jet
